initialSize:10000, elitism:45mutation:35
278,204.558,0-53-23-19-47-3-12-46-62-44-64-15-1-57-16-26-8-35-58-27-7-14-36-52-67-50-38-61-34-49-43-30-32-17-9-13-56-51-21-20-37-6-42-45-54-25-33-65-10-66-63-5-48-22-40-2-41-60-55-31-4-18-59-29-24-39-28-11-
278,175.606,11-41-55-31-59-28-39-4-48-22-18-53-46-23-2-20-24-29-37-66-6-42-45-33-54-25-10-65-63-5-40-60-62-58-27-49-7-67-52-36-34-50-38-61-43-9-17-13-32-56-51-21-30-15-35-14-57-8-16-26-44-64-1-47-3-19-12-0-
277,201.839,15-60-23-41-39-31-20-24-59-22-48-18-11-2-5-28-29-55-62-35-47-3-12-0-46-53-4-40-63-66-37-6-10-65-25-54-33-45-42-30-21-13-51-32-56-17-9-43-34-52-36-38-61-50-67-16-8-26-14-64-1-7-27-49-58-57-44-19-
277,176.92,60-2-41-11-31-55-4-39-18-22-48-59-28-40-5-29-24-63-66-10-65-25-54-33-45-42-6-37-20-23-44-67-36-52-38-61-50-34-9-17-56-32-51-21-30-13-43-49-27-58-35-57-8-14-7-16-26-1-15-62-3-19-47-64-12-53-46-0-
278,201.56,11-41-39-31-4-5-40-2-20-29-24-59-55-18-22-28-48-0-19-64-1-44-26-38-50-34-61-36-52-67-66-10-25-54-45-42-6-33-65-63-37-21-51-32-56-17-9-43-13-30-27-49-7-14-57-16-8-35-58-15-62-47-3-12-53-46-23-60-
277,209.024,11-31-55-41-29-24-48-18-4-39-60-2-20-40-5-63-37-66-6-51-32-56-13-21-42-45-33-25-54-10-65-22-28-59-62-30-17-9-43-52-50-38-61-36-34-67-8-26-16-44-57-14-35-58-7-49-27-15-64-46-0-23-3-1-47-19-12-53-
277,192.997,55-2-60-23-62-1-47-46-53-12-19-3-64-14-7-8-26-16-44-57-27-49-35-58-30-21-51-32-17-9-56-13-43-34-50-38-61-67-36-52-15-20-5-65-25-54-45-33-42-6-10-63-37-66-29-24-40-28-4-39-41-11-48-59-22-18-0-31-
277,184.688,53-23-60-31-55-18-22-48-4-11-0-2-37-10-65-25-54-45-33-42-6-66-63-5-40-24-29-28-59-39-41-20-62-30-51-13-9-17-56-32-21-43-34-38-50-61-36-52-67-49-27-35-58-15-57-8-26-16-7-14-44-1-47-64-19-3-12-46-
initialSize:20000, elitism:45mutation:40
277,205.516,18-22-59-48-29-40-24-4-55-11-39-41-60-12-46-23-5-28-2-31-47-1-8-20-63-66-10-65-33-54-25-45-42-6-37-21-30-51-32-56-13-17-9-43-49-34-50-38-61-67-36-52-14-7-16-57-26-35-27-62-15-19-64-44-58-3-53-0-
